lon,lat,address
-81.8145715,26.6049005,"challenger blvd, fort myers, fl 33966, usa"
-82.1944946,33.4792417,"4109 gateway blvd, grovetown, ga 30813, usa"
-89.1222209,41.3587063,"1307 38th st, peru, il 61354, usa"
-118.3425792,34.1690465,"3226 w magnolia blvd, burbank, ca 91505, usa"
-97.71570299999999,30.35073199999999,"1100 w anderson ln, austin, tx 78757, usa"
-80.38610969999999,25.6893786,"8268 mills dr, miami, fl 33183, usa"
-84.2699313,33.8114213,"2201 lawrenceville hwy #100decatur, decatur, ga 30033, usa"
-80.92698759999999,35.2317442,"5301 wilkinson blvd, charlotte, nc 28208, usa"
-79.7923249,36.0600579,"1235 s eugene st, greensboro, nc 27406, usa"
-87.5755002,38.0189843,"4480 n first ave, evansville, in 47710, usa"
-112.1482793,33.8776137,"43240 n black canyon hwy, phoenix, az 85087, usa"
-76.9389192,40.2149851,"3825 hartzdale dr, camp hill, pa 17011, usa"
-83.6820434,42.2340772,"3782 carpenter rd, ypsilanti, mi 48197, usa"
-111.7931223,33.2465449,"2825 e ocotillo rd, chandler, az 85249, usa"
-81.613338099999993,42.94876730000001,"351 caradoc st s, strathroy, on n7g 2p3, canada"
-87.8156331,42.1040874,"2740 old willow rd, northbrook, il 60062, usa"
-92.08540699999999,32.521734,"3158 louisville ave, monroe, la 71201, usa"
-90.5789609,38.7476013,"3551 harvester rd 2 store, st peters, mo 63303, usa"
-98.7182213,46.879623,"2629 8th ave sw, jamestown, nd 58401, usa"
-84.75671659999999,43.5760681,"4529 e blue grass rd, mt pleasant, mi 48858, usa"
-81.4898822,30.31704929999999,"11900 atlantic blvd, jacksonville, fl 32225, usa"
-81.4610276,30.2848241,"13500 beach blvd, jacksonville, fl 32224, usa"
-115.2788201,36.2839309,"6765 n durango dr, las vegas, nv 89149, usa"
-80.85326049999999,35.1995934,"2226 park rd, charlotte, nc 28203, usa"
-80.0766287,26.6249638,"701 boutwell rd, lake worth, fl 33461, usa"
-84.2125283,39.0247115,"87 e main st, amelia, oh 45102, usa"
-84.3770591,39.2282036,"9410 kenwood rd, blue ash, oh 45242, usa"
-84.24684889999999,39.1922561,"985 oh-28 #28milford, milford, oh 45150, usa"
-84.3395384,39.3401318,"1063 reading rd, mason, oh 45040, usa"
-90.5064027,44.0101296,"1516 n superior ave, tomah, wi 54660, usa"
-80.23670580000001,25.750078,"2500 sw 22nd st, miami, fl 33145, usa"
-84.5972184,39.1477796,"2990 harrison ave, cincinnati, oh 45211, usa"
-75.01553299999999,39.71315,"1912 n black horse pike, williamstown, nj 08094, usa"
-77.4727664,38.4761299,"54 n. stafford complex, center st, stafford, va 22556, usa"
-88.5751781,43.996702,"1600 w 20th ave, oshkosh, wi 54902, usa"
-78.8136475,41.1468656,"131 preston way, falls creek, pa 15840, usa"
-80.2507552,27.1977267,"101 se ocean blvd ste 101, stuart, fl 34994, usa"
-85.08520020000002,31.8803417,"1430 ga-50 #101tifton, georgetown, ga 39854, usa"
-82.52857870000001,27.8672255,"w prescott st, tampa, fl 33616, usa"
-99.0886453,40.7152643,"4009 6th ave, kearney, ne 68845, usa"
-122.7062552,38.4137366,"651 yolanda ave, santa rosa, ca 95404, usa"
-83.92194479999999,35.9921301,"2041 n broadway, knoxville, tn 37917, usa"
-121.8238331,39.7620273,"1354 east ave suite d, chico, ca 95926, usa"
-90.5171064,38.7838926,"1 westbury dr bldg b, suite 220, st charles, mo 63301, usa"
NA,NA,NA
-85.81542309999999,41.5667914,"1401 college ave, goshen, in 46526, usa"
-87.90919219999999,43.08805419999999,"3900 n palmer st, milwaukee, wi 53212, usa"
-96.8048321,32.9103574,"5941 forest ln, dallas, tx 75230, usa"
-82.25982839999999,29.0791092,"8449 sw state rd 200, ocala, fl 34481, usa"
-116.3635446,43.6194644,"e fairview ave, meridian, id 83642, usa"
-121.3198491,37.9983748,"stockton, ca 95207, usa"
-112.0663229,33.6065936,"13226 n 7th st, phoenix, az 85022, usa"
-96.64843069999999,32.8641975,"1661 e northwest hwy, garland, tx 75041, usa"
-81.9960076,34.945705,"895 spartan blvd, spartanburg, sc 29301, usa"
-77.36972240000001,37.1837383,"65 crater cir, petersburg, va 23805, usa"
-82.0673715,34.8865711,"sc-296 & sc-290, south carolina 29334, usa"
-82.6517009,34.503219,"sc-81, anderson, sc, usa"
-84.3261564,33.4464788,"1985 mcdonough rd, hampton, ga 30228, usa"
-84.01687969999999,33.55092250000001,"4489 hwy 20 s, covington, ga 30016, usa"
-91.7508015,37.9533589,"1304 forum dr, rolla, mo 65401, usa"
-81.5072641,41.02744,"570 e waterloo rd, akron, oh 44319, usa"
-84.4466394,33.4729909,"1030 glynn st n, fayetteville, ga 30214, usa"
-81.5325594,35.2777268,"445 earl rd, shelby, nc 28150, usa"
-84.5996639,33.8526353,"1717 east-west connector, austell, ga 30106, usa"
-85.2350481,34.2730141,"2338 shorter ave nw, rome, ga 30165, usa"
-84.5055047,33.6561318,"3625 n commerce dr, east point, ga 30344, usa"
-84.3182099,34.0376586,"10580 duke dr, alpharetta, ga 30009, usa"
