"","lon","lat","address","zip","city","state","x2020_01","quartile","state_name","region","division"
"836",-86.0804669,39.6686385,"6775 s emerson ave, indianapolis, in 46237, usa","46237","Indianapolis","IN",171144,"q3","Indiana","Midwest","East North Central"
"837",-80.2244196,35.9674516,"185 hickory tree rd, winston-salem, nc 27107, usa","27107","Winston-Salem","NC",139272,"q2","North Carolina","South","South Atlantic"
"838",-118.3744595,33.9757732,"6933 la tijera blvd, los angeles, ca 90045, usa","90045","Los Angeles","CA",1197634,"q4","California","West","Pacific"
"839",-86.0315268,34.6743904,"305 e willow st, scottsboro, al 35768, usa","35768","Scottsboro","AL",97654,"q1","Alabama","South","East South Central"
"840",-74.4760088,41.4334745,"scotchtown, ny 10940, usa","10940","Middletown","NY",225115,"q3","New York","Northeast","Middle Atlantic"
"841",-78.7722373,42.8291058,"3531 seneca st, west seneca, ny 14224, usa","14224","West Seneca","NY",180722,"q3","New York","Northeast","Middle Atlantic"
"842",-80.1942085,25.7765709,"30 nw 3rd st, miami, fl 33128, usa","33128","Miami","FL",201014,"q3","Florida","South","South Atlantic"
"843",-111.8756294,33.621133,"14858 n frank lloyd wright blvd, scottsdale, az 85260, usa","85260","Scottsdale","AZ",468752,"q4","Arizona","West","Mountain"
"844",-86.483515,41.4659229,"412 illinois st, walkerton, in 46574, usa","46574","Walkerton","IN",134478,"q2","Indiana","Midwest","East North Central"
"845",-97.6633098,30.4412782,"1420 wells branch pkwy #300pflugerville, pflugerville, tx 78660, usa","78660","Pflugerville","TX",270712,"q4","Texas","South","West South Central"
"846",-121.9510897,37.2799528,"2341 s winchester blvd, campbell, ca 95008, usa","95008","Campbell","CA",1308698,"q4","California","West","Pacific"
"847",-82.3826946,36.3619127,"3010 bristol hwy, johnson city, tn 37601, usa","37601","Johnson City","TN",146306,"q2","Tennessee","South","East South Central"
"848",-89.5133124,43.1241331,"4330 parmenter st, middleton, wi 53562, usa","53562","Middleton","WI",431925,"q4","Wisconsin","Midwest","East North Central"
"849",-88.805228,30.4144173,"2200 bienville blvd, ocean springs, ms 39564, usa","39564","Ocean Springs","MS",161422,"q2","Mississippi","South","East South Central"
"850",-119.313112,36.310224,"2240 s mooney blvd, visalia, ca 93277, usa","93277","Visalia","CA",236102,"q3","California","West","Pacific"
"851",-78.20708,43.004176,"4152 w main st, batavia, ny 14020, usa","14020","Town of Batavia","NY",118069,"q2","New York","Northeast","Middle Atlantic"
"852",-88.1255543,41.6102003,"1360 airport rd, romeoville, il 60446, usa","60446","Romeoville","IL",207835,"q3","Illinois","Midwest","East North Central"
"853",-122.0125734,37.9713475,"3495 clayton road el monte, shopping center, concord, ca 94519, usa","94519","Concord","CA",547849,"q4","California","West","Pacific"
"854",-79.8616791,36.6119796,"5950 greensboro rd, ridgeway, va 24148, usa","24148","Ridgeway","VA",101340,"q1","Virginia","South","South Atlantic"
"855",-77.5104102,38.3062683,"carl d. silver pkwy, fredericksburg, va 22401, usa","22401","Fredericksburg","VA",331623,"q4","Virginia","South","South Atlantic"
"856",-97.0176719,33.0442704,"919 w main st, lewisville, tx 75067, usa","75067","Lewisville","TX",257424,"q3","Texas","South","West South Central"
"857",-80.430471,25.7417704,"14610 sw 26th st, miami, fl 33175, usa","33175","Tamiami","FL",366511,"q4","Florida","South","South Atlantic"
"858",-77.3570214,37.6475475,"7427 verdi ln, mechanicsville, va 23116, usa","23116","Mechanicsville","VA",328359,"q4","Virginia","South","South Atlantic"
"859",-85.7951326,38.6856203,"1602 w mcclain ave, scottsburg, in 47170, usa","47170","Scottsburg","IN",128025,"q2","Indiana","Midwest","East North Central"
"860",-95.4954038,29.9875302,"4415 fm 1960, houston, tx 77068, usa","77068","Houston","TX",226689,"q3","Texas","South","West South Central"
"861",-75.443418,39.835988,"3294 chichester ave, marcus hook, pa 19061, usa","19061","Upper Chichester Township","PA",170176,"q3","Pennsylvania","Northeast","Middle Atlantic"
"862",-96.556386,33.731407,"2419 woodlawn blvd, denison, tx 75020, usa","75020","Denison","TX",137739,"q2","Texas","South","West South Central"
"863",-86.2207263,43.0910293,"17687 174th ave suite e, spring lake, mi 49456, usa","49456","Spring Lake","MI",253755,"q3","Michigan","Midwest","East North Central"
"864",-82.819333,27.843777,"13055 park blvd n, seminole, fl 33776, usa","33776","Seminole","FL",327052,"q4","Florida","South","South Atlantic"
"865",-72.5724057,42.201157,"1604 memorial dr, chicopee, ma 01020, usa","01020",NA,NA,NA,"q4",NA,NA,NA
"866",-86.4271533,39.4079371,"75 bill's blvd, martinsville, in 46151, usa","46151","Martinsville","IN",169834,"q3","Indiana","Midwest","East North Central"
"867",-84.6206447,40.1182338,"637 wagner ave, greenville, oh 45331, usa","45331","Greenville","OH",126402,"q2","Ohio","Midwest","East North Central"
"868",-91.9468247,30.1393087,"1214 albertson pkwy, broussard, la 70518, usa","70518","Broussard","LA",205208,"q3","Louisiana","South","West South Central"
"869",-96.008048,36.1182076,"3110 southwest blvd, tulsa, ok 74107, usa","74107","Tulsa","OK",82063,"q1","Oklahoma","South","West South Central"
"870",-121.9215775,37.3240737,"1691 w san carlos st, san jose, ca 95128, usa","95128","San Jose","CA",1142150,"q4","California","West","Pacific"
"871",-93.3545567,44.7460582,"5925 egan dr, savage, mn 55378, usa","55378","Savage","MN",334991,"q4","Minnesota","Midwest","West North Central"
"872",-99.7498336,32.4509215,"2200 n 1st st, abilene, tx 79603, usa","79603","Abilene","TX",89013,"q1","Texas","South","West South Central"
"873",-82.7171393,27.7817976,"1000 tyrone blvd n, st. petersburg, fl 33710, usa","33710","Saint Petersburg","FL",234136,"q3","Florida","South","South Atlantic"
"874",-120.4895009,46.5746862,"1907 s 1st st, yakima, wa 98903, usa","98903","Yakima","WA",242226,"q3","Washington","West","Pacific"
"875",-80.2341679,36.1108073,"1253 n liberty st, winston-salem, nc 27101, usa","27101","Winston-Salem","NC",119011,"q2","North Carolina","South","South Atlantic"
"876",-81.3370662,28.811478,"4516 w state rd 46 #46sanford, sanford, fl 32771, usa","32771","Sanford","FL",237088,"q3","Florida","South","South Atlantic"
"877",-117.7144368,33.9843885,"4200 chino hills pkwy #710chino, chino hills, ca 91709, usa","91709","Chino Hills","CA",693982,"q4","California","West","Pacific"
"878",-121.3891985,36.8381405,"1703 airline hwy, hollister, ca 95023, usa","95023","Hollister","CA",620522,"q4","California","West","Pacific"
"879",-81.4919123,27.5121184,"420 sebring square.., sebring, fl 33870, usa","33870","Sebring","FL",118364,"q2","Florida","South","South Atlantic"
"880",-77.5604113,36.4426442,"903 us-301, garysburg, nc 27831, usa","27831","Garysburg","NC",39968,"q1","North Carolina","South","South Atlantic"
"881",-84.1331067,41.5580098,"822 n shoop ave, wauseon, oh 43567, usa","43567","Wauseon","OH",145129,"q2","Ohio","Midwest","East North Central"
"882",-79.5058833,40.306928,"149 donohoe rd, greensburg, pa 15601, usa","15601","Greensburg","PA",194203,"q3","Pennsylvania","Northeast","Middle Atlantic"
"883",-83.4199096,39.552405,"1827 columbus ave, washington court house, oh 43160, usa","43160","Washington Court House","OH",115519,"q2","Ohio","Midwest","East North Central"
"884",-77.5299703,37.6258236,"8018 w broad st, richmond, va 23294, usa","23294","Henrico","VA",229879,"q3","Virginia","South","South Atlantic"
"885",-93.3874773,44.926655,"1025 hill st, hopkins, mn 55343, usa","55343","Hopkins","MN",287642,"q4","Minnesota","Midwest","West North Central"
"886",-117.905849,33.7477078,"410 n fairview st, santa ana, ca 92703, usa","92703","Santa Ana","CA",558114,"q4","California","West","Pacific"
"887",-106.5127751,35.1081185,"11500 menaul blvd ne, albuquerque, nm 87112, usa","87112","Albuquerque","NM",198467,"q3","New Mexico","West","Mountain"
"888",-76.119246,36.7950316,"1949 lynnhaven pkwy ste 1532, virginia beach, va 23453, usa","23453","Virginia Beach","VA",246018,"q3","Virginia","South","South Atlantic"
"889",-77.6493215,39.913746,"1021 wayne ave, chambersburg, pa 17201, usa","17201","Chambersburg","PA",155690,"q2","Pennsylvania","Northeast","Middle Atlantic"
"890",-82.908229,34.3543893,"1070 e franklin st, hartwell, ga 30643, usa","30643","Hartwell","GA",179459,"q3","Georgia","South","South Atlantic"
