"","zip","city","state","metro","county_name","x2020_01"
"13207","33306","Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",398168
"13208","23040","Cumberland","VA","","Cumberland County",155748
"13209","21863","Snow Hill","MD","Salisbury","Worcester County",170321
"13210","75656","Hughes Springs","TX","","Cass County",100502
"13211","4252","Lisbon Falls","ME","Lewiston-Auburn","Androscoggin County",176622
"13212","54730","Colfax","WI","Menomonie","Dunn County",174918
"13213","99349","Mattawa","WA","Moses Lake","Grant County",259030
"13214","13838","Town of Sidney","NY","","Delaware County",96061
"13215","31553","Nahunta","GA","Brunswick","Brantley County",98368
"13216","72923","Barling","AR","Fort Smith","Sebastian County",112600
"13217","92823","Brea","CA","Los Angeles-Long Beach-Anaheim","Orange County",821952
"13218","23310","Cape Charles","VA","","Northampton County",253868
"13219","7648","Norwood","NJ","New York-Newark-Jersey City","Bergen County",554675
"13220","29372","Pacolet","SC","Spartanburg","Spartanburg County",78895
"13221","54830","Danbury","WI","","Burnett County",188701
"13222","98024","Fall City","WA","Seattle-Tacoma-Bellevue","King County",747172
"13223","4950","Madison","ME","","Somerset County",105286
"13224","17948","Mahanoy City","PA","Pottsville","Schuylkill County",13663
"13225","14505","Newark","NY","Rochester","Wayne County",141578
"13226","65610","Billings","MO","Springfield","Christian County",189887
"13227","54840","Grantsburg","WI","","Burnett County",135586
"13228","45732","Glouster","OH","Athens","Athens County",49688
"13229","44672","Sebring","OH","Youngstown-Warren-Boardman","Mahoning County",60913
"13230","14891","Watkins Glen","NY","","Schuyler County",142221
"13231","45338","Lewisburg","OH","","Preble County",158625
"13232","52655","West Burlington","IA","Burlington","Des Moines County",128669
"13233","29470","Ravenel","SC","Charleston-North Charleston","Charleston County",282683
"13234","19085","Radnor Township","PA","Philadelphia-Camden-Wilmington","Delaware County",983419
"13235","12919","Town of Champlain","NY","Plattsburgh","Clinton County",119024
"13236","2667","Wellfleet","MA","Barnstable Town","Barnstable County",576388
"13237","92539","Anza","CA","Riverside-San Bernardino-Ontario","Riverside County",279833
"13238","37020","Bell Buckle","TN","Shelbyville","Bedford County",228324
"13239","53032","Horicon","WI","Beaver Dam","Dodge County",145884
"13240","6423","East Haddam","CT","Hartford-West Hartford-East Hartford","Middlesex County",255221
"13241","16841","Howard Township","PA","State College","Centre County",201792
"13242","80466","Nederland","CO","Boulder","Boulder County",508037
"13243","37153","Rockvale","TN","Nashville-Davidson--Murfreesboro--Franklin","Rutherford County",282148
"13244","51054","Sergeant Bluff","IA","Sioux City","Woodbury County",252461
"13245","87529","El Prado","NM","Taos","Taos County",345612
"13246","75497","Yantis","TX","","Wood County",249559
"13247","37061","Erin","TN","","Houston County",112069
"13248","2832","Hopkinton","RI","Providence-Warwick","Washington County",300775
"13249","18621","Hunlock Township","PA","Scranton--Wilkes-Barre--Hazleton","Luzerne County",140358
"13250","76821","Ballinger","TX","","Runnels County",76873
"13251","35186","Wilsonville","AL","Birmingham-Hoover","Shelby County",210819
"13252","43731","Crooksville","OH","Columbus","Perry County",67976
"13253","72065","Hensley","AR","Little Rock-North Little Rock-Conway","Saline County",157031
"13254","61348","Oglesby","IL","Ottawa-Peru","La Salle County",99020
"13255","24482","Verona","VA","Staunton-Waynesboro","Augusta County",184358
"13256","32066","Mayo","FL","","Lafayette County",133165
"13257","25832","Daniels","WV","Beckley","Raleigh County",186058
"13258","48097","Yale","MI","Detroit-Warren-Dearborn","Saint Clair County",146331
"13259","3234","Epsom","NH","Concord","Merrimack County",270301
"13260","14510","Mount Morris","NY","Rochester","Livingston County",90090
"13261","42041","Fulton","KY","Union City","Fulton County",53634
"13262","89705","Carson City","NV","Carson City","Carson City",356893
"13263","95938","Durham","CA","Chico","Butte County",484618
"13264","35971","Fyffe","AL","Fort Payne","De Kalb County",93891
"13265","45380","Versailles","OH","Greenville","Darke County",195643
"13266","12522","Dover","NY","New York-Newark-Jersey City","Dutchess County",248864
"13267","65631","Clever","MO","Springfield","Christian County",152945
"13268","22503","Lancaster","VA","","Lancaster County",212287
"13269","96073","Palo Cedro","CA","Redding","Shasta County",417535
"13270","37150","Red Boiling Springs","TN","Nashville-Davidson--Murfreesboro--Franklin","Macon County",87053
"13271","96093","Weaverville","CA","","Trinity County",238220
"13272","16433","Woodcock Township","PA","Meadville","Crawford County",138202
"13273","7058","Montville Township","NJ","New York-Newark-Jersey City","Morris County",580431
"13274","22844","New Market","VA","","Shenandoah County",190213
"13275","77659","Sour Lake","TX","Beaumont-Port Arthur","Hardin County",208954
"13276","40023","Louisville","KY","Louisville/Jefferson County","Jefferson County",348373
"13277","63873","Portageville","MO","","New Madrid County",81019
"13278","5461","Hinesburg","VT","Burlington-South Burlington","Chittenden County",350760
"13279","70032","Arabi","LA","New Orleans-Metairie","Saint Bernard Parish",147092
"13280","89510","Sparks","NV","Reno","Washoe County",483331
"13281","55320","Clearwater","MN","Minneapolis-St. Paul-Bloomington","Wright County",253888
"13282","71654","McGehee","AR","","Desha County",42964
"13283","43044","Mechanicsburg","OH","Urbana","Champaign County",146548
"13284","35116","Morris","AL","Birmingham-Hoover","Jefferson County",169384
"13285","3261","Northwood","NH","Boston-Cambridge-Newton","Rockingham County",287028
"13286","4849","Lincolnville","ME","","Waldo County",264295
"13287","96122","Portola","CA","","Plumas County",165724
"13288","2770","Rochester","MA","Boston-Cambridge-Newton","Plymouth County",425875
"13289","20106","Amissville","VA","Washington-Arlington-Alexandria","Culpeper County",390716
"13290","47452","Orleans","IN","","Orange County",104827
"13291","29112","North","SC","Orangeburg","Orangeburg County",72139
"13292","60964","Sun River Terrace","IL","Kankakee","Kankakee County",138671
"13293","98439","Lakewood","WA","Seattle-Tacoma-Bellevue","Pierce County",255196
"13294","4239","Jay","ME","","Franklin County",137040
"13295","28756","Lake Lure","NC","Forest City","Rutherford County",177479
"13296","95222","Murphys","CA","","Calaveras County",340088
"13297","93591","Palmdale","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",234394
"13298","7704","Fair Haven","NJ","New York-Newark-Jersey City","Monmouth County",781807
"13299","78401","Corpus Christi","TX","Corpus Christi","Nueces County",80698
"13300","80530","Frederick","CO","Greeley","Weld County",369264
"13301","59634","Clancy","MT","Helena","Jefferson County",380969
"13302","70075","Meraux","LA","New Orleans-Metairie","Saint Bernard Parish",166580
