"","X","lon","lat","X.1","zip","city","state","metro","county_name","x2020_01","quartile","rating","address","region"
"35",35,-122.2496396,47.3795183,NA,"80212","Denver","CO","Denver-Aurora-Lakewood","Denver County",569280,"q4",4,"5825 w 44th ave, denver, co 80212, usa","West"
"36",36,-80.9269876,35.2317442,NA,"37027","Brentwood","TN","Nashville-Davidson--Murfreesboro--Franklin","Williamson County",638573,"q4",4,"6708 nolensville pike, brentwood, tn 37027, usa","South"
"37",37,-84.1977802,39.81673,NA,"96707","Kapolei","HI","Urban Honolulu","Honolulu County",647412,"q4",4,"2140 lauwiliwili st, kapolei, hi 96707, usa","West"
"38",38,-81.4238336,41.0244505,NA,"91367","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",781556,"q4",4,"21322 w oxnard st, woodland hills, ca 91367, usa","West"
"39",39,-96.556386,33.731407,NA,"26757","Romney","WV","Winchester","Hampshire County",132033,"q2",4,"22240 northwestern turnpike, romney, wv 26757, usa","South"
"40",40,-122.6296832,38.2426252,NA,"75935","Center","TX","","Shelby County",101676,"q1",4,"1233 tenaha st, center, tx 75935, usa","South"
"41",41,-83.8489393,34.290501,NA,"93268","Taft","CA","Bakersfield","Kern County",127363,"q2",4,"411 finley dr, taft, ca 93268, usa","West"
"42",42,-97.1270096,31.5731071,NA,"30534","Dawsonville","GA","Atlanta-Sandy Springs-Roswell","Dawson County",250898,"q3",4,"66 s 400 center ln ste 140-150, dawsonville, ga 30534, usa","South"
"43",43,-121.7580585,36.9116923,NA,"95608","Carmichael","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",426111,"q4",4,"5107 fair oaks blvd, carmichael, ca 95608, usa","West"
"44",44,-80.7016933,35.3150611,NA,"78218","San Antonio","TX","San Antonio-New Braunfels","Bexar County",152000,"q2",4,"5722 walzem rd #103, san antonio, tx 78218, usa","South"
"45",45,-81.415235,28.5520058,NA,"23805","Petersburg","VA","Richmond","Petersburg City",141247,"q2",4,"65 crater cir, petersburg, va 23805, usa","South"
"46",46,-95.4336856,30.0747665,NA,"95608","Carmichael","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",426111,"q4",3.5,"4126 manzanita ave, carmichael, ca 95608, usa","West"
"47",47,-110.975822,31.854569,NA,"28504","Kinston","NC","Kinston","Lenoir County",115003,"q2",3.5,"4190 w vernon ave, kinston, nc 28504, usa","South"
"48",48,-111.3174847,34.2397055,NA,"90401","Santa Monica","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1178492,"q4",3.5,"524 santa monica blvd, santa monica, ca 90401, usa","West"
"49",49,-111.9267249,33.3179394,NA,"92117","San Diego","CA","San Diego-Carlsbad","San Diego County",701998,"q4",3.5,"4220 balboa ave, san diego, ca 92117, usa","West"
"50",50,-157.9698987,21.394138,NA,"33463","Greenacres","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",247032,"q3",3.5,"5821 lake worth rd, greenacres, fl 33463, usa","South"
"51",51,-79.0642408,38.1300309,NA,"93030","Oxnard","CA","Oxnard-Thousand Oaks-Ventura","Ventura County",551804,"q4",3.5,"330 w 6th st store 330 w, oxnard, ca 93030, usa","West"
"52",52,-89.6884401,35.0451269,NA,"23832","Chesterfield","VA","Richmond","Chesterfield County",251332,"q3",3.5,"14740 hull street rd, chesterfield, va 23832, usa","South"
"53",53,-85.0273249,35.4758338,NA,"44312","Akron","OH","Akron","Summit County",113105,"q2",3.5,"1500 canton rd, akron, oh 44312, usa","Midwest"
"54",54,-111.9072222,33.6191667,NA,"93015","Fillmore","CA","Oxnard-Thousand Oaks-Ventura","Ventura County",475660,"q4",3.5,"745 ventura st, fillmore, ca 93015, usa","West"
"55",55,-82.61706,35.570635,NA,"52240","Iowa City","IA","Iowa City","Johnson County",219061,"q3",3.5,"445 us-6, iowa city, ia 52240, usa","Midwest"
"56",56,-96.8425539,32.9986717,NA,"44319","Portage Lakes","OH","Akron","Summit County",158107,"q2",3.5,"570 e waterloo rd, akron, oh 44319, usa","Midwest"
"57",57,NA,NA,NA,"61874","Savoy","IL","Champaign-Urbana","Champaign County",233760,"q3",3.5,"1201 savoy plaza ln, savoy, il 61874, usa","Midwest"
"58",58,NA,NA,NA,"44111","Cleveland","OH","Cleveland-Elyria","Cuyahoga County",92633,"q1",3.5,"13719 lorain ave, cleveland, oh 44111, usa","Midwest"
"59",59,-95.5539348,29.9017512,NA,"90036","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1631627,"q4",3.5,"817 south la brea ave, los angeles, ca 90036, usa","West"
"60",60,NA,NA,NA,"93001","Ventura","CA","Oxnard-Thousand Oaks-Ventura","Ventura County",651751,"q4",3.5,"404 e main st, ventura, ca 93001, usa","West"
"61",61,-79.038815,38.0347262,NA,"30084","Tucker","GA","Atlanta-Sandy Springs-Roswell","Dekalb County",254774,"q3",3.5,"3983 lavista rd #136tucker, tucker, ga 30084, usa","South"
"62",62,-111.6988976,33.4170135,NA,"94806","San Pablo","CA","San Francisco-Oakland-Hayward","Contra Costa County",497848,"q4",3.5,"100a san pablo towne center store 100a, san pablo, ca 94806, usa","West"
"63",63,-118.9195051,34.3969841,NA,"94601","Oakland","CA","San Francisco-Oakland-Hayward","Alameda County",587357,"q4",3.5,"2925 e 14th st, oakland, ca 94601, usa","West"
"64",64,-94.3128148,37.1431827,NA,"23707","Portsmouth","VA","Virginia Beach-Norfolk-Newport News","Portsmouth City",163789,"q2",3.5,"3110 high st, portsmouth, va 23707, usa","South"
"65",65,-115.2775664,36.0610608,NA,"32809","Pine Castle","FL","Orlando-Kissimmee-Sanford","Orange County",210335,"q3",3.5,"7531 s orange blossom trail, orlando, fl 32809, usa","South"
"66",66,-89.3999426,43.0704831,NA,"27105","Winston-Salem","NC","Winston-Salem","Forsyth County",83979,"q1",3.5,"2701 university pkwy, winston-salem, nc 27105, usa","South"
"67",67,-91.5303195,41.6441087,NA,"93063","Simi Valley","CA","Oxnard-Thousand Oaks-Ventura","Ventura County",597407,"q4",3.5,"5145 e los angeles ave, simi valley, ca 93063, usa","West"
"68",68,-81.5072641,41.02744,NA,"70124","New Orleans","LA","New Orleans-Metairie","Orleans Parish",465964,"q4",3.5,"214 robert e lee blvd, new orleans, la 70124, usa","South"
"69",69,-79.4215188,36.5734843,NA,"95825","Arden-Arcade","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",322303,"q4",3.5,"2450 fulton ave, sacramento, ca 95825, usa","West"
"70",70,-122.7880394,38.5274519,NA,"29206","Forest Acres","SC","Columbia","Richland County",250808,"q3",3.5,"2225 decker blvd, columbia, sc 29206, usa","South"
"71",71,-101.8427106,33.5684394,NA,"85284","Tempe","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",466265,"q4",3.5,"575 w warner rd, tempe, az 85284, usa","West"
"72",72,-80.3015548,26.1100174,NA,"24019","Roanoke","VA","Roanoke","Roanoke City",190443,"q3",3.5,"roanoke, va 24019, usa","South"
"73",73,-81.8107004,26.4083809,NA,"86305","Prescott","AZ","Prescott","Yavapai County",469204,"q4",3.5,"1375 w iron springs rd, prescott, az 86305, usa","West"
"74",74,-91.8957239,39.1746041,NA,"62208","Fairview Heights","IL","St. Louis","Saint Clair County",115174,"q2",3.5,"125 commerce ln, fairview heights, il 62208, usa","Midwest"
