"","zip","state","state_name","city","x2020_01","region","division"
"478","59901","MT","Montana","Kalispell",319660,"West","Mountain"
"479","77083","TX","Texas","Houston",184793,"South","West South Central"
"480","75211","TX","Texas","Dallas",171508,"South","West South Central"
"481","30066","GA","Georgia","Marietta",277302,"South","South Atlantic"
"482","21224","MD","Maryland","Baltimore",176872,"South","South Atlantic"
"483","97045","OR","Oregon","Oregon City",441528,"West","Pacific"
"484","92618","CA","California","Irvine",901181,"West","Pacific"
"485","85345","AZ","Arizona","Peoria",229129,"West","Mountain"
"486","78741","TX","Texas","Austin",304061,"South","West South Central"
"487","92115","CA","California","San Diego",549977,"West","Pacific"
"488","83301","ID","Idaho","Twin Falls",219630,"West","Mountain"
"489","63129","MO","Missouri","Oakville",235203,"Midwest","West North Central"
"490","6516","CT","Connecticut","West Haven",193417,"Northeast","New England"
"491","1960","MA","Massachusetts","Peabody",468423,"Northeast","New England"
"492","95355","CA","California","Modesto",347769,"West","Pacific"
"493","89110","NV","Nevada","Las Vegas",232132,"West","Mountain"
"494","11368","NY","New York","New York",367412,"Northeast","Middle Atlantic"
"495","43015","OH","Ohio","Delaware",251989,"Midwest","East North Central"
"496","37027","TN","Tennessee","Brentwood",638573,"South","East South Central"
"497","85301","AZ","Arizona","Glendale",176391,"West","Mountain"
