"","lon","lat","address","zip","city","state","metro","county_name","x2020_01"
"4195",-84.540331,42.8148987,"1161 e clark rd, dewitt, mi 48820, usa","48820","Dewitt","MI","Lansing-East Lansing","Clinton County",245396
"4196",-86.2071933,43.1621765,"1484 e ellis rd, norton shores, mi 49444, usa","49444","Muskegon Heights","MI","Muskegon","Muskegon County",101293
"4197",-122.8209078,46.9978364,"4800 yelm hwy se, lacey, wa 98503, usa","98503","Lacey","WA","Olympia-Tumwater","Thurston County",319526
"4198",-84.696143,45.0243751,"1361 pineview dr, gaylord, mi 49735, usa","49735","Gaylord","MI","","Otsego County",147816
"4199",-75.8764518,40.3299966,"3001 st lawrence ave, reading, pa 19606, usa","19606","Exeter Township","PA","Reading","Berks County",183839
"4200",-80.1020075,26.807015,"4224 northlake blvd, palm beach gardens, fl 33410, usa","33410","Palm Beach Gardens","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",364321
"4201",-73.6572848,45.4947649,"quebec h4p, canada","canada",NA,NA,NA,NA,NA
"4202",-87.6570119,41.8828179,"1201 w washington blvd, chicago, il 60607, usa","60607","Chicago","IL","Chicago-Naperville-Elgin","Cook County",413923
"4203",-97.2167511,32.640619,"kennedale, tx 76060, usa","76060","Kennedale","TX","Dallas-Fort Worth-Arlington","Tarrant County",280991
"4204",-89.3631088,43.1285825,"2901 n sherman ave, madison, wi 53704, usa","53704","Madison","WI","Madison","Dane County",236788
"4205",-87.7030206,44.0719012,"4335 calumet ave, manitowoc, wi 54220, usa","54220","Manitowoc","WI","Manitowoc","Manitowoc County",121493
"4206",-82.7687255,36.1843023,"3190 e andrew johnson hwy, greeneville, tn 37745, usa","37745","Greeneville","TN","Greeneville","Greene County",119271
"4207",-97.6895545,30.413383,"1700 w parmer ln, austin, tx 78727, usa","78727","Austin","TX","Austin-Round Rock","Travis County",372681
"4208",-91.1200507,42.4830772,"211 4th st se, dyersville, ia 52040, usa","52040","Dyersville","IA","Dubuque","Dubuque County",183664
"4209",-80.1203511,26.5291867,"9764 s military trail, boynton beach, fl 33436, usa","33436","Boynton Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",268887
"4210",-82.5198492,35.4985501,"51 mills gap rd, asheville, nc 28803, usa","28803","Asheville","NC","Asheville","Buncombe County",305806
"4211",-96.7699314,32.8104373,"1606 greenville ave, dallas, tx 75206, usa","75206","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",428177
"4212",-83.6939229,32.5514931,"1111 ga-96, kathleen, ga 31047, usa","31047","Kathleen","GA","Warner Robins","Houston County",217053
"4213",-80.6862968,35.2118692,"9305 albemarle rd, charlotte, nc 28227, usa","28227","Mint Hill","NC","Charlotte-Concord-Gastonia","Mecklenburg County",228484
"4214",-89.8948725,35.0853449,"1724 s white station rd, memphis, tn 38117, usa","38117","Memphis","TN","Memphis","Shelby County",205735
"4215",-83.1534257,39.9822052,"5526 renner rd, columbus, oh 43228, usa","43228","Columbus","OH","Columbus","Franklin County",145620
"4216",-81.2454663,33.9859589,"423 w main st, lexington, sc 29072, usa","29072","Lexington","SC","Columbia","Lexington County",238446
"4217",-82.1266495,41.4058507,"145 keep ct, elyria, oh 44035, usa","44035","Elyria","OH","Cleveland-Elyria","Lorain County",113930
"4218",-95.5321094,30.0031624,"15812 champion forest dr, spring, tx 77379, usa","77379","Spring","TX","Houston-The Woodlands-Sugar Land","Harris County",258733
"4219",-96.5511823,39.1840515,"e poyntz ave, manhattan, ks 66502, usa","66502","Manhattan","KS","Manhattan","Riley County",196422
"4220",-122.2206602,38.1323161,"gateway plaza, 129 plaza dr, vallejo, ca 94590, usa","94590","Vallejo","CA","Vallejo-Fairfield","Solano County",384480
"4221",-80.3302514,25.666204,"sw 112th st, kendall, fl, usa","fl",NA,NA,NA,NA,NA
"4222",-118.4143136,34.1574014,"12912 riverside dr, sherman oaks, ca 91423, usa","91423","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1105055
"4223",-93.260284,37.186251,"1514 s glenstone ave, springfield, mo 65804, usa","65804","Springfield","MO","Springfield","Greene County",171985
"4224",-94.347642,32.157132,"606 w panola st, carthage, tx 75633, usa","75633","Carthage","TX","","Panola County",148867
"4225",-81.240998,43.0086029,"1044 adelaide st n, london, on n5y 2n1, canada","canada",NA,NA,NA,NA,NA
"4226",-90.5947903,46.5485001,"111802 us-2, ashland, wi 54806, usa","54806","Ashland","WI","","Ashland County",117531
"4227",-123.2058684,39.1338511,"135 washington ave, ukiah, ca 95482, usa","95482","Ukiah","CA","Ukiah","Mendocino County",376599
"4228",-118.5959162,34.1789325,"21322 w oxnard st, woodland hills, ca 91367, usa","91367","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",781556
"4229",-76.8033969,39.4388848,"11411 reisterstown rd, owings mills, md 21117, usa","21117","Owings Mills","MD","Baltimore-Columbia-Towson","Baltimore County",272658
"4230",-77.6029726,42.9494066,"201 w main st, honeoye falls, ny 14472, usa","14472","Honeoye Falls","NY","Rochester","Monroe County",267069
"4231",-80.1917902,25.7616798,"miami, fl, usa","fl",NA,NA,NA,NA,NA
"4232",-75.9705143,41.2088918,"2236 sans souci pkwy, hanover, pa 18706, usa","18706","Hanover Township","PA","Scranton--Wilkes-Barre--Hazleton","Luzerne County",76190
"4233",-101.5052936,32.2607528,"2000 i-20, big spring, tx 79720, usa","79720","Big Spring","TX","Big Spring","Howard County",127947
"4234",-96.5941932,32.8420889,"451 w interstate 30 #100garland, garland, tx 75043, usa","75043","Garland","TX","Dallas-Fort Worth-Arlington","Dallas County",207973
"4235",-86.9594924,36.043383,"tn-100, bellevue, tn 37221, usa","37221","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",333014
"4236",-86.1296071,40.0068042,"1617 e 151st st, carmel, in 46032, usa","46032","Carmel","IN","Indianapolis-Carmel-Anderson","Hamilton County",352192
"4237",-97.2460805,37.6638973,"1625 s rock rd suite 115 b, wichita, ks 67207, usa","67207","Wichita","KS","Wichita","Sedgwick County",162572
"4238",-97.3621446,37.7219424,"2172 n amidon ave, wichita, ks 67203, usa","67203","Wichita","KS","Wichita","Sedgwick County",104285
"4239",-77.5108822,37.502691,"6301 midlothian turnpike, richmond, va 23225, usa","23225","Richmond","VA","Richmond","Richmond City",235143
"4240",-81.7849866,41.3793664,"6805 1/2 pearl rd #6880, middleburg heights, oh 44130, usa","44130","Parma Heights","OH","Cleveland-Elyria","Cuyahoga County",148567
"4241",-122.4333203,37.7849836,"1669 fillmore st, san francisco, ca 94115, usa","94115","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",1608688
"4242",-111.8227756,33.3363981,"1500 w warner rd, gilbert, az 85233, usa","85233","Gilbert","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",331536
"4243",-122.2415034,37.7671316,"2319 lincoln ave, alameda, ca 94501, usa","94501","Alameda","CA","San Francisco-Oakland-Hayward","Alameda County",1029822
"4244",-86.3252372,43.4073362,"3353 underwood dr, whitehall, mi 49461, usa","49461","Whitehall","MI","Muskegon","Muskegon County",201241
"4245",-80.3028751,27.3008664,"9086 s federal hwy, port st. lucie, fl 34952, usa","34952","Port Saint Lucie","FL","Port St. Lucie","Saint Lucie County",200450
"4246",-82.4491364,35.3351287,"155 four seasons mall, 155 4 seasons blvd, hendersonville, nc 28792, usa","28792","Hendersonville","NC","Asheville","Henderson County",234022
"4247",-86.3164014,44.2351846,"282 12th st, manistee, mi 49660, usa","49660","Manistee","MI","","Manistee County",134575
"4248",-78.9155509,38.181678,"state rte 608 & state rte 612, new hope, va 24401, usa","24401","Staunton","VA","Staunton-Waynesboro","Staunton City",184422
"4249",-118.5571498,34.2741899,"11243 tampa ave, porter ranch, ca 91326, usa","91326","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",806309
"4250",-97.265963,32.8035206,"3147 denton hwy, haltom city, tx 76117, usa","76117","Haltom City","TX","Dallas-Fort Worth-Arlington","Tarrant County",164334
"4251",-114.023627,51.3004872,"800 veterans blvd nw unit 306, airdrie, ab t4a 2g1, canada","canada",NA,NA,NA,NA,NA
"4252",0.4243793,51.4710347,"east tilbury, uk","uk",NA,NA,NA,NA,NA
"4253",-118.5516971,34.173091,"19207 ventura blvd, tarzana, ca 91356, usa","91356","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",966341
"4254",-121.443199,38.5607458,"5117 folsom blvd, sacramento, ca 95819, usa","95819","Sacramento","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",566018
"4255",-84.4613031,39.1913947,"7162 reading rd, cincinnati, oh 45237, usa","45237","Cincinnati","OH","Cincinnati","Hamilton County",120910
