"","lon","lat","address","zip","city","state","metro","county_name","x2020_01","quartile"
"294",-76.0279939,40.1338616,"1367 weaverland rd, east earl, pa 17519, usa","17519","East Earl Township","PA","Lancaster","Lancaster County",273446,"q4"
"295",-84.3399082,34.0421279,"10779 alpharetta hwy, roswell, ga 30076, usa","30076","Roswell","GA","Atlanta-Sandy Springs-Roswell","Fulton County",373172,"q4"
"296",-90.1810973,30.0056405,"4329 veterans memorial blvd, metairie, la 70006, usa","70006","Metairie","LA","New Orleans-Metairie","Jefferson Parish",271859,"q4"
"297",-75.0012191,39.8274066,"222 s white horse pike, stratford, nj 08084, usa","08084",NA,NA,NA,NA,NA,"q4"
"298",-82.5564559,28.0684157,"tampa, fl 33625, usa","33625","Citrus Park","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",259515,"q3"
"299",-122.324385,47.619044,"115 belmont ave e, seattle, wa 98102, usa","98102","Seattle","WA","Seattle-Tacoma-Bellevue","King County",724999,"q4"
"300",-121.8920346,36.9758006,"9043 soquel dr, aptos, ca 95003, usa","95003","Aptos","CA","Santa Cruz-Watsonville","Santa Cruz County",907545,"q4"
"301",-75.627625,40.582151,"7720 main st, fogelsville, pa 18051, usa","18051","Weisenberg Township","PA","Allentown-Bethlehem-Easton","Lehigh County",331652,"q4"
"302",-96.9936579,32.8465999,"2935 n belt line rd, irving, tx 75062, usa","75062","Irving","TX","Dallas-Fort Worth-Arlington","Dallas County",216252,"q3"
"303",-82.6533658,35.7914535,"3660 us-25, marshall, nc 28753, usa","28753","Marshall","NC","Asheville","Madison County",211013,"q3"
"304",-80.3375799,36.0672461,"4550 kester mill rd, winston-salem, nc 27103, usa","27103","Winston-Salem","NC","Winston-Salem","Forsyth County",169202,"q3"
"305",-122.2854589,37.849419,"6624 san pablo ave store 6624, oakland, ca 94608, usa","94608","Oakland","CA","San Francisco-Oakland-Hayward","Alameda County",742323,"q4"
"306",-122.6968856,45.523575,"2215 w burnside st, portland, or 97210, usa","97210","Portland","OR","Portland-Vancouver-Hillsboro","Multnomah County",803171,"q4"
"307",-86.9442972,38.388569,"201 us-231, jasper, in 47546, usa","47546","Jasper","IN","Jasper","Dubois County",179052,"q3"
"308",-79.9100071,37.3952977,"125 commons pkwy, daleville, va 24083, usa","24083","Daleville","VA","Roanoke","Botetourt County",321413,"q4"
